Entity,In NOFO IC,In SGG,In CG,Source,CommonGrants Field,SGG API Field (v0),NOFO IC Item,NOFO IC Field,Change vs old sheet
Opportunity,yes,no,no,ic-only,,,1.11.12,Anticipated Project Start Date,renamed
Opportunity,yes,no,yes,cg-core,keyDates.otherDates.noticeOfIntentDueDate,,1.11.14,Anticipated Notice of Intent Due Date,mappable via keyDates.otherDates
Opportunity,yes,no,no,ic-only,,,1.11.15,Anticipated Notice of Intent Due Date - Time,renumbered
Opportunity,yes,no,no,ic-only,,,1.12.01,Project Goal Title,renamed
Opportunity,yes,no,no,ic-only,,,1.12.02,Project Goal Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.12.03,Project Objective Title,renamed
Opportunity,yes,no,no,ic-only,,,1.12.04,Project Objective Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.12.05,Project Performance Measure Title,renamed
Opportunity,yes,no,no,ic-only,,,1.12.06,Project Performance Measure Description,unchanged
Opportunity,yes,no,no,ic-only,,,1.12.07,Project Performance Measure Value - Prior Fiscal Year,unchanged
Opportunity,yes,no,no,ic-only,,,1.12.08,Project Performance Measure Target Value,unchanged
Opportunity,yes,no,no,ic-only,,,1.13.01,Project Assistance Type,unchanged
Opportunity,yes,no,no,ic-only,,,1.13.02,Project Basis of Award Amount Selection,unchanged
Opportunity,yes,no,no,ic-only,,,1.13.03,Project Basis for Recipient Selection,unchanged
Opportunity,yes,no,no,ic-only,,,1.13.04,Anticipated Number of Award Applications,unchanged
Opportunity,yes,no,no,ic-only,,,1.13.05,Anticipated Number of Awards,unchanged
Opportunity,yes,no,no,ic-only,,,1.14.01,Project Funding-Related Assistance Listing,unchanged
Opportunity,yes,no,no,ic-only,,,1.14.02,Funding Opportunity Fiscal Year,unchanged
Opportunity,yes,no,no,ic-only,,,1.14.03,Program Activity Reporting Key (PARK),unchanged
Opportunity,yes,no,no,ic-only,,,1.14.04,Treasury Account Symbol (TAS),unchanged
Opportunity,yes,no,no,ic-only,,,1.14.05,PARK/TAS Funding Amount,unchanged
Opportunity,yes,no,no,ic-only,,,2.01.02,Eligible Applicant Attributes,renamed
Opportunity,yes,no,no,ic-only,,,2.03.02,Eligible Beneficiary Attributes,renamed
Opportunity,yes,no,no,ic-only,,,2.04.01,Eligible Beneficiary Additional Information,unchanged
Opportunity,yes,no,no,ic-only,,,2.05.01,Geographic Eligibility Applicable,renamed
Opportunity,yes,no,no,ic-only,,,2.05.02,Geographic Eligibility Type,renamed
